dateRep,cases,,,,,,,,,,
14/12/2020,746,,,,,,,,,,
13/12/2020,298,,,,,,,,,,
12/12/2020,113,,,,,,,,,,
11/12/2020,63,,,,,,,,,,
10/12/2020,202,,,,,,,,,,
9/12/2020,135,,,,,,,,,,
8/12/2020,200,,,,,,,,,,
7/12/2020,210,,,,,,,,,,
6/12/2020,234,,,,,,,,,,
5/12/2020,235,,,,,,,,,,
4/12/2020,119,,,,,,,,,,
3/12/2020,202,,,,,,,,,,
2/12/2020,400,,,,,,,,,,
1/12/2020,272,,,,,,,,,,
30/11/2020,0,,,,,,,,,,
29/11/2020,228,,,,,,,,,,
28/11/2020,214,,,,,,,,,,
27/11/2020,0,,,,,,,,,,
26/11/2020,200,,,,,,,,,,
25/11/2020,185,,,,,,,,,,
24/11/2020,246,,,,,,,,,,
23/11/2020,252,,,,,,,,,,
22/11/2020,154,,,,,,,,,,
21/11/2020,232,,,,,,,,,,
20/11/2020,282,,,,,,,,,,
19/11/2020,0,,,,,,,,,,
18/11/2020,383,,,,,,,,,,
17/11/2020,65,,,,,,,,,,
16/11/2020,163,,,,,,,,,,
15/11/2020,205,,,,,,,,,,
14/11/2020,66,,,,,,,,,,
13/11/2020,360,,,,,,,,,,
12/11/2020,146,,,,,,,,,,
11/11/2020,0,,,,,,,,,,
10/11/2020,224,,,,,,,,,,
9/11/2020,80,,,,,,,,,,
8/11/2020,126,,,,,,,,,,
7/11/2020,58,,,,,,,,,,
6/11/2020,40,,,,,,,,,,
5/11/2020,121,,,,,,,,,,
4/11/2020,86,,,,,,,,,,
3/11/2020,95,,,,,,,,,,
2/11/2020,132,,,,,,,,,,
1/11/2020,76,,,,,,,,,,
31/10/2020,157,,,,,,,,,,
30/10/2020,123,,,,,,,,,,
29/10/2020,0,,,,,,,,,,
28/10/2020,113,,,,,,,,,,
27/10/2020,199,,,,,,,,,,
26/10/2020,65,,,,,,,,,,
25/10/2020,81,,,,,,,,,,
24/10/2020,61,,,,,,,,,,
23/10/2020,116,,,,,,,,,,
22/10/2020,135,,,,,,,,,,
21/10/2020,88,,,,,,,,,,
20/10/2020,87,,,,,,,,,,
19/10/2020,59,,,,,,,,,,
18/10/2020,68,,,,,,,,,,
17/10/2020,47,,,,,,,,,,
16/10/2020,0,,,,,,,,,,
15/10/2020,32,,,,,,,,,,
14/10/2020,66,,,,,,,,,,
13/10/2020,129,,,,,,,,,,
12/10/2020,96,,,,,,,,,,
11/10/2020,0,,,,,,,,,,
10/10/2020,10,,,,,,,,,,
9/10/2020,77,,,,,,,,,,
8/10/2020,68,,,,,,,,,,
7/10/2020,62,,,,,,,,,,
6/10/2020,145,,,,,,,,,,
5/10/2020,44,,,,,,,,,,
4/10/2020,7,,,,,,,,,,
3/10/2020,5,,,,,,,,,,
2/10/2020,17,,,,,,,,,,
1/10/2020,14,,,,,,,,,,
30/09/2020,15,,,,,,,,,,
29/09/2020,12,,,,,,,,,,
28/09/2020,0,,,,,,,,,,
27/09/2020,35,,,,,,,,,,
26/09/2020,6,,,,,,,,,,
25/09/2020,16,,,,,,,,,,
24/09/2020,25,,,,,,,,,,
23/09/2020,71,,,,,,,,,,
22/09/2020,30,,,,,,,,,,
21/09/2020,0,,,,,,,,,,
20/09/2020,125,,,,,,,,,,
19/09/2020,47,,,,,,,,,,
18/09/2020,0,,,,,,,,,,
17/09/2020,17,,,,,,,,,,
16/09/2020,40,,,,,,,,,,
15/09/2020,99,,,,,,,,,,
14/09/2020,75,,,,,,,,,,
13/09/2020,35,,,,,,,,,,
12/9/2020,34,,,,,,,,,,
11/9/2020,28,,,,,,,,,,
10/9/2020,24,,,,,,,,,,
9/9/2020,26,,,,,,,,,,
8/9/2020,96,,,,,,,,,,
7/9/2020,74,,,,,,,,,,
6/9/2020,20,,,,,,,,,,
5/9/2020,16,,,,,,,,,,
